Name,Score,Description
Hamilton,97,"Lin-Manuel Miranda's hip-hop infused tuner about Alexander Hamilton began at The Public Theater to rave reviews, then transferred to Broadway where it won eleven 2016 Tony Awards including Best Musical. "
Songs For The Fallen,97,"Part of the New York Musical Theatre Festival, this production combines elements from vaudeville, cabaret, and MTV to tell of the extraordinary life of Marie Duplessis; courtesan, party girl, liar, and legend. "
Midtown International Theatre ...,97,"MIFT presents its second annual fall theater festival featuring an array of under-90-minute shows that emphasize imaginative, low-tech staging."
Wicked,93,"Now in its fourteenth year on Broadway, this all-ages spectacle follows the untold true story of the Witches of Oz."
The Color Purple,93,This stripped-down revival of the musical based on Alice Walker's Pulitzer Prize-winning novel won two 2016 Tony Awards including Best Musical Revival. Directed by John Doyle and starring Tony winner Cynthia Erivo. 
Rent,93,This groundbreaking musical about poor young artists in New York City's Lower East Side during the AIDS/HIV crisis won the Tony Award for Best Musical as well as The Pulitzer Prize for Best Drama.
Next to Normal,93,"‘Next To Normal’, a musical about a family dealing with mental illness premiered in 2008, winning a 2009 Tony for Best Score, and the 2010 Pulitzer Prize for Drama."
Dear Evan Hansen,93,"'Dear Evan Hansen' is about how we share, like, and friend, love, feel, and survive in the modern world. Winner of six 2017 Tony Awards, including Best Musical."
In the Heights,93,"Winner of the 2008 Tony Award for Best Musical, Lin-Manuel Miranda's 'In the Heights' is the story of three eventful days in the vibrant community of Washington Heights."
A 24-Decade History of Popular...,93,"St. Ann's Warehouse presents the world premiere of Taylor Mac's complete, eight-part performance series on the history of American music."
The Lion,92,Benjamin Scheuer’s original musical about his growth as a man and as a musician.
Hedwig and the Angry Inch,91,Spend the evening with a transgender German rock singer in this Tony Award winning revival of the cult musical written by John Cameron Mitchell and Stephen Trask. 
Les Miserables,91,"An all new version of the classic musical based on Victor Hugo's epic novel, 'Les Mis' tells the story of an ill-fated revolution in the streets of 19th century Paris."
The Lion King,91,"In Julie Taymor's Tony Award winning retelling of Disney's animated hit, puppets and live actors weave a dreamscape of jungle characters, creating the story of young Simba's rise to the throne."
The Producers,91,"Mel Brooks' adaptation of his movie - an old-fashioned, slightly risqué Broadway musical comedy."
Gypsy,91,"Staten Island's Harbor Lights Theater Company presents the all-time classic, 'Gypsy,' about ""backstage mother"" Mama Rose and her daughter Louise, who triumphantly emerges from Rose’s shadow to become a star."
Spring Awakening,91,"This original Broadway production about teenagers discovering their sexuality and the problems that come with that, won Best Musical and featured a star-studded cast including Jonathan Groff and Lea Michelle."
